"","Sector Económico","year","mes","caja","morosidad_var","Mes"
"21","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,6,"CMAC Arequipa",2488934.09468,2016-06-01
"22","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,6,"CMAC Cusco",1373562.6585,2016-06-01
"23","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,6,"CMAC Huancayo",1370124.68608,2016-06-01
"24","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,6,"CMAC Piura",2037149.35128,2016-06-01
"25","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,7,"CMAC Arequipa",2514175.9573,2016-07-01
"26","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,7,"CMAC Cusco",1379050.96467,2016-07-01
"27","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,7,"CMAC Huancayo",1398860.10932,2016-07-01
"28","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,7,"CMAC Piura",2063036.23307,2016-07-01
"29","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,8,"CMAC Arequipa",2535320.01055,2016-08-01
"30","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,8,"CMAC Cusco",1390457.44319,2016-08-01
"31","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,8,"CMAC Huancayo",1428287.04131,2016-08-01
"32","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,8,"CMAC Piura",2093526.36022,2016-08-01
"33","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,9,"CMAC Arequipa",2572154.83607,2016-09-01
"34","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,9,"CMAC Cusco",1409510.29958,2016-09-01
"35","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,9,"CMAC Huancayo",1456468.97615,2016-09-01
"36","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,9,"CMAC Piura",2149372.56559,2016-09-01
"37","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,10,"CMAC Arequipa",2610186.78833,2016-10-01
"38","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,10,"CMAC Cusco",1418623.962,2016-10-01
"39","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,10,"CMAC Huancayo",1506057.89478,2016-10-01
"40","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,10,"CMAC Piura",2224548.65812,2016-10-01
"41","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,11,"CMAC Arequipa",2654189.87533,2016-11-01
"42","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,11,"CMAC Cusco",1440879.12709,2016-11-01
"43","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,11,"CMAC Huancayo",1581777.272,2016-11-01
"44","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,11,"CMAC Piura",2294229.11099,2016-11-01
"45","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,12,"CMAC Arequipa",2688461.89442,2016-12-01
"46","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,12,"CMAC Cusco",1468830.1323,2016-12-01
"47","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,12,"CMAC Huancayo",1658781.34123,2016-12-01
"48","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,12,"CMAC Piura",2365063.41193,2016-12-01
"49","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,1,"CMAC Arequipa",13.2205621039947,2017-01-01
"50","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,1,"CMAC Cusco",12.8275758349342,2017-01-01
"51","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,1,"CMAC Huancayo",31.4714034921924,2017-01-01
"52","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,1,"CMAC Piura",23.4607991581061,2017-01-01
"53","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,2,"CMAC Arequipa",14.142187679457,2017-02-01
"54","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,2,"CMAC Cusco",13.4673468559841,2017-02-01
"55","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,2,"CMAC Huancayo",31.7094123451135,2017-02-01
"56","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,2,"CMAC Piura",23.8437734671088,2017-02-01
"57","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,3,"CMAC Arequipa",15.0544409134277,2017-03-01
"58","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,3,"CMAC Cusco",13.2421647899009,2017-03-01
"59","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,3,"CMAC Huancayo",32.0203045270196,2017-03-01
"60","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,3,"CMAC Piura",23.3723597297146,2017-03-01
"61","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,4,"CMAC Arequipa",13.3661246973498,2017-04-01
"62","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,4,"CMAC Cusco",13.3598172933113,2017-04-01
"63","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,4,"CMAC Huancayo",33.1680774711211,2017-04-01
"64","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,4,"CMAC Piura",22.0420925806373,2017-04-01
"65","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,5,"CMAC Arequipa",12.756918947705,2017-05-01
"66","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,5,"CMAC Cusco",13.4135993923668,2017-05-01
"67","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,5,"CMAC Huancayo",31.9965293263783,2017-05-01
"68","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,5,"CMAC Piura",22.5439981967965,2017-05-01
"69","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,6,"CMAC Arequipa",11.7185587856033,2017-06-01
"70","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,6,"CMAC Cusco",12.9058879952072,2017-06-01
"71","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,6,"CMAC Huancayo",30.9717621017466,2017-06-01
"72","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,6,"CMAC Piura",26.1049900929383,2017-06-01
"73","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,7,"CMAC Arequipa",11.9465755993688,2017-07-01
"74","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,7,"CMAC Cusco",13.9699538672308,2017-07-01
"75","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,7,"CMAC Huancayo",30.2576304857068,2017-07-01
"76","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,7,"CMAC Piura",26.3593712748694,2017-07-01
"77","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,8,"CMAC Arequipa",11.6720453756764,2017-08-01
"78","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,8,"CMAC Cusco",15.0308302784526,2017-08-01
"79","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,8,"CMAC Huancayo",29.3078428728211,2017-08-01
"80","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,8,"CMAC Piura",25.3120632927838,2017-08-01
"81","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,9,"CMAC Arequipa",12.7811167500436,2017-09-01
"82","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,9,"CMAC Cusco",15.6372898988874,2017-09-01
"83","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,9,"CMAC Huancayo",29.5047031139607,2017-09-01
"84","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,9,"CMAC Piura",24.3152073017429,2017-09-01
"85","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,10,"CMAC Arequipa",12.2950460930548,2017-10-01
"86","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,10,"CMAC Cusco",16.4406629471552,2017-10-01
"87","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,10,"CMAC Huancayo",27.1658953190352,2017-10-01
"88","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,10,"CMAC Piura",21.3916265226656,2017-10-01
"89","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,11,"CMAC Arequipa",12.6895997716864,2017-11-01
"90","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,11,"CMAC Cusco",16.6918188957135,2017-11-01
"91","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,11,"CMAC Huancayo",26.1350896423804,2017-11-01
"92","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,11,"CMAC Piura",20.5149964576512,2017-11-01
"93","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,12,"CMAC Arequipa",11.7387169524337,2017-12-01
"94","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,12,"CMAC Cusco",16.3520598255908,2017-12-01
"95","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,12,"CMAC Huancayo",25.5468341617451,2017-12-01
"96","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2017,12,"CMAC Piura",18.0478627954282,2017-12-01
"97","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,1,"CMAC Arequipa",12.1358766908798,2018-01-01
"98","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,1,"CMAC Cusco",16.736829533022,2018-01-01
"99","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,1,"CMAC Huancayo",25.0615010375268,2018-01-01
"100","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,1,"CMAC Piura",17.0226888581814,2018-01-01
"101","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,2,"CMAC Arequipa",11.4881200982725,2018-02-01
"102","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,2,"CMAC Cusco",16.6255916057986,2018-02-01
"103","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,2,"CMAC Huancayo",25.0885897379916,2018-02-01
"104","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,2,"CMAC Piura",15.8997391073903,2018-02-01
"105","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,3,"CMAC Arequipa",11.7061693251626,2018-03-01
"106","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,3,"CMAC Cusco",16.7283207590647,2018-03-01
"107","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,3,"CMAC Huancayo",23.6780534223198,2018-03-01
"108","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,3,"CMAC Piura",16.9486186602523,2018-03-01
"109","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,4,"CMAC Arequipa",12.1913966920946,2018-04-01
"110","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,4,"CMAC Cusco",16.7634336162273,2018-04-01
"111","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,4,"CMAC Huancayo",22.9505773883747,2018-04-01
"112","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,4,"CMAC Piura",16.8164589831499,2018-04-01
"113","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,5,"CMAC Arequipa",13.1674868419944,2018-05-01
"114","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,5,"CMAC Cusco",17.0312758565848,2018-05-01
"115","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,5,"CMAC Huancayo",22.925410968517,2018-05-01
"116","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,5,"CMAC Piura",15.3916480332706,2018-05-01
"117","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,6,"CMAC Arequipa",13.4746484823417,2018-06-01
"118","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,6,"CMAC Cusco",16.6272886537519,2018-06-01
"119","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,6,"CMAC Huancayo",22.4711868283154,2018-06-01
"120","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,6,"CMAC Piura",12.956008210183,2018-06-01
"121","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,7,"CMAC Arequipa",12.7978026294525,2018-07-01
"122","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,7,"CMAC Cusco",16.5711864511141,2018-07-01
"123","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,7,"CMAC Huancayo",22.0786024886633,2018-07-01
"124","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,7,"CMAC Piura",10.2649564574979,2018-07-01
"125","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,8,"CMAC Arequipa",12.8351230695109,2018-08-01
"126","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,8,"CMAC Cusco",15.7731427856697,2018-08-01
"127","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,8,"CMAC Huancayo",21.5120562835235,2018-08-01
"128","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,8,"CMAC Piura",10.6985055650639,2018-08-01
"129","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,9,"CMAC Arequipa",11.6456993141417,2018-09-01
"130","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,9,"CMAC Cusco",13.9950547497197,2018-09-01
"131","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,9,"CMAC Huancayo",21.0140419520391,2018-09-01
"132","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,9,"CMAC Piura",10.5361126064598,2018-09-01
"133","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,10,"CMAC Arequipa",12.2286442032723,2018-10-01
"134","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,10,"CMAC Cusco",13.5238472689409,2018-10-01
"135","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,10,"CMAC Huancayo",22.1598068594762,2018-10-01
"136","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,10,"CMAC Piura",10.9725930181897,2018-10-01
"137","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,11,"CMAC Arequipa",11.5010742771375,2018-11-01
"138","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,11,"CMAC Cusco",13.6011598064603,2018-11-01
"139","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,11,"CMAC Huancayo",22.0468941692362,2018-11-01
"140","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,11,"CMAC Piura",9.49189865043025,2018-11-01
"141","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,12,"CMAC Arequipa",13.8615740940237,2018-12-01
"142","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,12,"CMAC Cusco",12.9521118100625,2018-12-01
"143","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,12,"CMAC Huancayo",21.2049589808177,2018-12-01
"144","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2018,12,"CMAC Piura",8.51103427441871,2018-12-01
"145","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,1,"CMAC Arequipa",14.2915585072349,2019-01-01
"146","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,1,"CMAC Cusco",13.341959307431,2019-01-01
"147","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,1,"CMAC Huancayo",22.669318192281,2019-01-01
"148","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,1,"CMAC Piura",8.27564697969145,2019-01-01
"149","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,2,"CMAC Arequipa",14.7917814566668,2019-02-01
"150","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,2,"CMAC Cusco",12.7824448954691,2019-02-01
"151","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,2,"CMAC Huancayo",22.1807799284897,2019-02-01
"152","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,2,"CMAC Piura",9.20209233991944,2019-02-01
"153","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,3,"CMAC Arequipa",14.4388073869547,2019-03-01
"154","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,3,"CMAC Cusco",13.0646117147726,2019-03-01
"155","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,3,"CMAC Huancayo",23.2695191797885,2019-03-01
"156","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2019,3,"CMAC Piura",9.11574982574925,2019-03-01
