"","concepto","CMAC                      Arequipa","CMAC                      Cusco","CMAC Huancayo","CMAC                            Piura","year","mes"
"98","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.9823059293915,16.5706642779313,18.3681233955083,13.6528481644696,2018,9
"99","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.31762924640794,2.53789006020454,2.44858902364586,1.50446514022235,2018,9
"100","Ratio de Capital Global",14.25,15.13,13.52,14.7,2018,10
"101","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.2670118402273,16.5453649229161,18.4510828599748,13.1293400890487,2018,10
"102","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.35994295266749,2.52581537133758,2.45965487505748,1.43575982743102,2018,10
"103","Ratio de Capital Global",14.22,14.92,13.58,14.54,2018,11
"104","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.5514916537814,16.1573754530276,19.0616656868565,13.2609810441591,2018,11
"105","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.40109095688165,2.45491193352083,2.54064262210964,1.43922360425603,2018,11
"106","Ratio de Capital Global",14.01,14.84,13.42,14.93,2018,12
"107","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.5372901214339,16.062667325998,19.5172879463359,13.4687574013789,2018,12
"108","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.40717229126237,2.43118165805496,2.59756106253209,1.45174716026788,2018,12
"109","Ratio de Capital Global",14.19,14.77,13.38,14.65,2019,1
"110","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.5716110798764,16.0076948673796,19.3295845887978,12.7690163008266,2019,1
"111","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.42177694558343,2.41443669700532,2.56650525347188,1.36793057425095,2019,1
"112","Ratio de Capital Global",14.17,14.74,13.31,14.34,2019,2
"113","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.457122250761,15.8753299645737,19.1961844315207,12.7322129940075,2019,2
"114","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.41678324943028,2.38900767219254,2.54315445154316,1.35732377309536,2019,2
"115","Ratio de Capital Global",14.17,14.79,13.35,14.63,2019,3
"116","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.424044121452,15.7912487314261,19.1499118895904,11.9251229189594,2019,3
"117","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.41870717777537,2.36723223342066,2.53121926328065,1.26565356946047,2019,3
"118","Ratio de Capital Global",14.29,14.77,14.19,14.34,2019,4
"119","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",19.6065121300684,15.7169011782398,19.0772228585994,11.1757810292824,2019,4
"120","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.43258073316171,2.34703520749215,2.50498959650325,1.18503921806493,2019,4
