"","year","mes","Mes","caja","morosidad"
"37",2016,10,2016-10-01,"CMAC Arequipa",5.26253862390142
"38",2016,10,2016-10-01,"CMAC Cusco",5.02262035861003
"39",2016,10,2016-10-01,"CMAC Huancayo",3.48527018355798
"40",2016,10,2016-10-01,"CMAC Piura",6.95773286613063
"41",2016,11,2016-11-01,"CMAC Arequipa",5.09209294651143
"42",2016,11,2016-11-01,"CMAC Cusco",4.90190254473143
"43",2016,11,2016-11-01,"CMAC Huancayo",3.45076892073047
"44",2016,11,2016-11-01,"CMAC Piura",6.94180629485762
"45",2016,12,2016-12-01,"CMAC Arequipa",4.42767549795255
"46",2016,12,2016-12-01,"CMAC Cusco",4.50596974206631
"47",2016,12,2016-12-01,"CMAC Huancayo",3.10986098925789
"48",2016,12,2016-12-01,"CMAC Piura",6.67404150236969
"49",2017,1,2017-01-01,"CMAC Arequipa",4.91939128578864
"50",2017,1,2017-01-01,"CMAC Cusco",5.18864941122111
"51",2017,1,2017-01-01,"CMAC Huancayo",3.55257377391534
"52",2017,1,2017-01-01,"CMAC Piura",6.87281977144993
"53",2017,2,2017-02-01,"CMAC Arequipa",4.83425422957664
"54",2017,2,2017-02-01,"CMAC Cusco",4.80424353589694
"55",2017,2,2017-02-01,"CMAC Huancayo",3.70199457070275
"56",2017,2,2017-02-01,"CMAC Piura",7.46948201298389
"57",2017,3,2017-03-01,"CMAC Arequipa",4.83921914268625
"58",2017,3,2017-03-01,"CMAC Cusco",4.73227754405312
"59",2017,3,2017-03-01,"CMAC Huancayo",3.61478815549013
"60",2017,3,2017-03-01,"CMAC Piura",6.51152282764769
"61",2017,4,2017-04-01,"CMAC Arequipa",5.10612930863272
"62",2017,4,2017-04-01,"CMAC Cusco",4.8600575219573
"63",2017,4,2017-04-01,"CMAC Huancayo",3.78866688382121
"64",2017,4,2017-04-01,"CMAC Piura",6.77925797127951
"65",2017,5,2017-05-01,"CMAC Arequipa",5.04723518864138
"66",2017,5,2017-05-01,"CMAC Cusco",5.08057871546428
"67",2017,5,2017-05-01,"CMAC Huancayo",3.95503915409491
"68",2017,5,2017-05-01,"CMAC Piura",6.47585171466571
"69",2017,6,2017-06-01,"CMAC Arequipa",5.02677522002303
"70",2017,6,2017-06-01,"CMAC Cusco",4.79954510665339
"71",2017,6,2017-06-01,"CMAC Huancayo",3.70294101758699
"72",2017,6,2017-06-01,"CMAC Piura",6.41099773597175
"73",2017,7,2017-07-01,"CMAC Arequipa",5.23377141417696
"74",2017,7,2017-07-01,"CMAC Cusco",4.81588751566774
"75",2017,7,2017-07-01,"CMAC Huancayo",3.97362510222222
"76",2017,7,2017-07-01,"CMAC Piura",6.48468753594291
"77",2017,8,2017-08-01,"CMAC Arequipa",5.13830342784415
"78",2017,8,2017-08-01,"CMAC Cusco",4.89376357019341
"79",2017,8,2017-08-01,"CMAC Huancayo",3.9585497345821
"80",2017,8,2017-08-01,"CMAC Piura",6.38837471125441
"81",2017,9,2017-09-01,"CMAC Arequipa",4.96009005522118
"82",2017,9,2017-09-01,"CMAC Cusco",4.55890097146678
"83",2017,9,2017-09-01,"CMAC Huancayo",3.73139209575497
"84",2017,9,2017-09-01,"CMAC Piura",6.64979319267376
"85",2017,10,2017-10-01,"CMAC Arequipa",5.16649993637631
"86",2017,10,2017-10-01,"CMAC Cusco",4.67182778291493
"87",2017,10,2017-10-01,"CMAC Huancayo",3.84832451779966
"88",2017,10,2017-10-01,"CMAC Piura",6.9183429510291
"89",2017,11,2017-11-01,"CMAC Arequipa",4.90473255654539
"90",2017,11,2017-11-01,"CMAC Cusco",4.63440064370859
"91",2017,11,2017-11-01,"CMAC Huancayo",3.90985237072352
"92",2017,11,2017-11-01,"CMAC Piura",6.86132573047444
"93",2017,12,2017-12-01,"CMAC Arequipa",4.3335737087358
"94",2017,12,2017-12-01,"CMAC Cusco",4.34612991003452
"95",2017,12,2017-12-01,"CMAC Huancayo",3.38375183034372
"96",2017,12,2017-12-01,"CMAC Piura",6.71492897163262
"97",2018,1,2018-01-01,"CMAC Arequipa",4.48254124330311
"98",2018,1,2018-01-01,"CMAC Cusco",4.33677012815286
"99",2018,1,2018-01-01,"CMAC Huancayo",3.88226724622056
"100",2018,1,2018-01-01,"CMAC Piura",6.82483204332416
"101",2018,2,2018-02-01,"CMAC Arequipa",4.62036329995647
"102",2018,2,2018-02-01,"CMAC Cusco",4.53411876512467
"103",2018,2,2018-02-01,"CMAC Huancayo",4.06536801775972
"104",2018,2,2018-02-01,"CMAC Piura",7.02646124602055
"105",2018,3,2018-03-01,"CMAC Arequipa",4.7176909866806
"106",2018,3,2018-03-01,"CMAC Cusco",4.61135491739437
"107",2018,3,2018-03-01,"CMAC Huancayo",3.85088582353099
"108",2018,3,2018-03-01,"CMAC Piura",7.1808328494288
"109",2018,4,2018-04-01,"CMAC Arequipa",4.80565525801687
"110",2018,4,2018-04-01,"CMAC Cusco",4.74518291142693
"111",2018,4,2018-04-01,"CMAC Huancayo",3.96270497677542
"112",2018,4,2018-04-01,"CMAC Piura",7.00214518133918
"113",2018,5,2018-05-01,"CMAC Arequipa",4.8550219587836
"114",2018,5,2018-05-01,"CMAC Cusco",4.71318698132389
"115",2018,5,2018-05-01,"CMAC Huancayo",4.00630906132702
"116",2018,5,2018-05-01,"CMAC Piura",6.96257893850011
"117",2018,6,2018-06-01,"CMAC Arequipa",5.01865855403875
"118",2018,6,2018-06-01,"CMAC Cusco",4.52513003796082
"119",2018,6,2018-06-01,"CMAC Huancayo",3.97747822233199
"120",2018,6,2018-06-01,"CMAC Piura",7.17282767593767
"121",2018,7,2018-07-01,"CMAC Arequipa",4.98674152765588
"122",2018,7,2018-07-01,"CMAC Cusco",4.69795077330285
"123",2018,7,2018-07-01,"CMAC Huancayo",4.06870388243077
"124",2018,7,2018-07-01,"CMAC Piura",6.36622766528162
"125",2018,8,2018-08-01,"CMAC Arequipa",5.14237291294154
"126",2018,8,2018-08-01,"CMAC Cusco",4.84506872205375
"127",2018,8,2018-08-01,"CMAC Huancayo",4.17701250675904
"128",2018,8,2018-08-01,"CMAC Piura",6.49633891474396
"129",2018,9,2018-09-01,"CMAC Arequipa",5.12638099629547
"130",2018,9,2018-09-01,"CMAC Cusco",4.71206811581736
"131",2018,9,2018-09-01,"CMAC Huancayo",3.91273771406363
"132",2018,9,2018-09-01,"CMAC Piura",6.59530820312681
"133",2018,10,2018-10-01,"CMAC Arequipa",5.16258218631951
"134",2018,10,2018-10-01,"CMAC Cusco",4.74859832688497
"135",2018,10,2018-10-01,"CMAC Huancayo",3.97410766457828
"136",2018,10,2018-10-01,"CMAC Piura",6.79299898324434
"137",2018,11,2018-11-01,"CMAC Arequipa",5.1757580276402
"138",2018,11,2018-11-01,"CMAC Cusco",4.64327187476702
"139",2018,11,2018-11-01,"CMAC Huancayo",3.88709571075057
"140",2018,11,2018-11-01,"CMAC Piura",6.79829009209397
"141",2018,12,2018-12-01,"CMAC Arequipa",4.55034221225735
"142",2018,12,2018-12-01,"CMAC Cusco",4.43586399038644
"143",2018,12,2018-12-01,"CMAC Huancayo",3.5231335883111
"144",2018,12,2018-12-01,"CMAC Piura",6.91117124842806
"145",2019,1,2019-01-01,"CMAC Arequipa",4.80973563230788
"146",2019,1,2019-01-01,"CMAC Cusco",4.42276226107792
"147",2019,1,2019-01-01,"CMAC Huancayo",4.03881854555048
"148",2019,1,2019-01-01,"CMAC Piura",7.14326129343247
"149",2019,2,2019-02-01,"CMAC Arequipa",5.037138792441
"150",2019,2,2019-02-01,"CMAC Cusco",4.63528017564193
"151",2019,2,2019-02-01,"CMAC Huancayo",4.1039769866064
"152",2019,2,2019-02-01,"CMAC Piura",7.3406209104939
"153",2019,3,2019-03-01,"CMAC Arequipa",5.16473120044894
"154",2019,3,2019-03-01,"CMAC Cusco",4.60833408256362
"155",2019,3,2019-03-01,"CMAC Huancayo",3.8708324631906
"156",2019,3,2019-03-01,"CMAC Piura",7.20446110587582
"157",2019,4,2019-04-01,"CMAC Arequipa",5.33590957937995
"158",2019,4,2019-04-01,"CMAC Cusco",4.88373639298755
"159",2019,4,2019-04-01,"CMAC Huancayo",4.02930906630209
"160",2019,4,2019-04-01,"CMAC Piura",7.42027322641388
"161",2019,5,2019-05-01,"CMAC Arequipa",5.44235765386181
"162",2019,5,2019-05-01,"CMAC Cusco",4.91479233864755
"163",2019,5,2019-05-01,"CMAC Huancayo",3.58370751548515
"164",2019,5,2019-05-01,"CMAC Piura",7.61244787499015
"165",2019,6,2019-06-01,"CMAC Arequipa",5.54249816141596
"166",2019,6,2019-06-01,"CMAC Cusco",4.71573075030163
"167",2019,6,2019-06-01,"CMAC Huancayo",3.68817724510142
"168",2019,6,2019-06-01,"CMAC Piura",6.80579798874208
"169",2019,7,2019-07-01,"CMAC Arequipa",5.62199854150269
"170",2019,7,2019-07-01,"CMAC Cusco",4.97027226615335
"171",2019,7,2019-07-01,"CMAC Huancayo",3.89649626927276
"172",2019,7,2019-07-01,"CMAC Piura",7.19161717882448
"173",2019,8,2019-08-01,"CMAC Arequipa",5.4089662538697
"174",2019,8,2019-08-01,"CMAC Cusco",5.09484144049003
"175",2019,8,2019-08-01,"CMAC Huancayo",3.58722785029379
"176",2019,8,2019-08-01,"CMAC Piura",7.69317812473327
"177",2019,9,2019-09-01,"CMAC Arequipa",5.39302635250498
"178",2019,9,2019-09-01,"CMAC Cusco",4.96231559617865
"179",2019,9,2019-09-01,"CMAC Huancayo",2.66870564643312
"180",2019,9,2019-09-01,"CMAC Piura",7.94912116080801
"181",2019,10,2019-10-01,"CMAC Arequipa",5.36530494742889
"182",2019,10,2019-10-01,"CMAC Cusco",4.92268264073426
"183",2019,10,2019-10-01,"CMAC Huancayo",2.8288754080698
"184",2019,10,2019-10-01,"CMAC Piura",7.90972386902737
"185",2019,11,2019-11-01,"CMAC Arequipa",5.32072257658794
"186",2019,11,2019-11-01,"CMAC Cusco",4.81676340013088
"187",2019,11,2019-11-01,"CMAC Huancayo",3.00376534947411
"188",2019,11,2019-11-01,"CMAC Piura",7.90918128794961
"189",2019,12,2019-12-01,"CMAC Arequipa",4.70893786899855
"190",2019,12,2019-12-01,"CMAC Cusco",4.53734815117004
"191",2019,12,2019-12-01,"CMAC Huancayo",2.85518329611143
"192",2019,12,2019-12-01,"CMAC Piura",8.46789474516539
"193",2020,1,2020-01-01,"CMAC Arequipa",4.79240599926667
"194",2020,1,2020-01-01,"CMAC Cusco",4.8095916075917
"195",2020,1,2020-01-01,"CMAC Huancayo",3.45927569745684
"196",2020,1,2020-01-01,"CMAC Piura",8.50837182289817
"197",2020,2,2020-02-01,"CMAC Arequipa",4.88793142488657
"198",2020,2,2020-02-01,"CMAC Cusco",4.72555873243895
"199",2020,2,2020-02-01,"CMAC Huancayo",2.92282244625549
"200",2020,2,2020-02-01,"CMAC Piura",8.57006978525201
"201",2020,3,2020-03-01,"CMAC Arequipa",4.93412892285393
"202",2020,3,2020-03-01,"CMAC Cusco",4.60583084214198
"203",2020,3,2020-03-01,"CMAC Huancayo",4.19394390938743
"204",2020,3,2020-03-01,"CMAC Piura",8.40267199224537
"205",2020,4,2020-04-01,"CMAC Arequipa",4.98967795383197
"206",2020,4,2020-04-01,"CMAC Cusco",4.60344095546876
"207",2020,4,2020-04-01,"CMAC Huancayo",3.53462634237738
"208",2020,4,2020-04-01,"CMAC Piura",8.43752230955916
"209",2020,5,2020-05-01,"CMAC Arequipa",5.03025793369005
"210",2020,5,2020-05-01,"CMAC Cusco",4.49028437036896
"211",2020,5,2020-05-01,"CMAC Huancayo",3.34191242342228
"212",2020,5,2020-05-01,"CMAC Piura",8.47053691142283
"213",2020,6,2020-06-01,"CMAC Arequipa",5.00689268831621
"214",2020,6,2020-06-01,"CMAC Cusco",4.36539896291392
"215",2020,6,2020-06-01,"CMAC Huancayo",3.12800199235236
"216",2020,6,2020-06-01,"CMAC Piura",8.2604316658764
"217",2020,7,2020-07-01,"CMAC Arequipa",4.84824484777722
"218",2020,7,2020-07-01,"CMAC Cusco",3.35962613780469
"219",2020,7,2020-07-01,"CMAC Huancayo",3.53725435136175
"220",2020,7,2020-07-01,"CMAC Piura",7.83459322734367
"221",2020,8,2020-08-01,"CMAC Arequipa",4.70972177265033
"222",2020,8,2020-08-01,"CMAC Cusco",3.19109987494453
"223",2020,8,2020-08-01,"CMAC Huancayo",2.89215013142529
"224",2020,8,2020-08-01,"CMAC Piura",7.51858803519945
"225",2020,9,2020-09-01,"CMAC Arequipa",4.65007729961523
"226",2020,9,2020-09-01,"CMAC Cusco",3.16143821840586
"227",2020,9,2020-09-01,"CMAC Huancayo",2.7235822040559
"228",2020,9,2020-09-01,"CMAC Piura",7.55149244004249
"229",2020,10,2020-10-01,"CMAC Arequipa",4.14341439276765
"230",2020,10,2020-10-01,"CMAC Cusco",2.79965811504377
"231",2020,10,2020-10-01,"CMAC Huancayo",2.56069840548421
"232",2020,10,2020-10-01,"CMAC Piura",7.37491645264058
"233",2020,11,2020-11-01,"CMAC Arequipa",3.62356232911046
"234",2020,11,2020-11-01,"CMAC Cusco",2.77609651539584
"235",2020,11,2020-11-01,"CMAC Huancayo",2.44296575870607
"236",2020,11,2020-11-01,"CMAC Piura",7.14274927230018
"237",2020,12,2020-12-01,"CMAC Arequipa",3.20057796552972
"238",2020,12,2020-12-01,"CMAC Cusco",2.2925356492767
"239",2020,12,2020-12-01,"CMAC Huancayo",2.26112087433681
"240",2020,12,2020-12-01,"CMAC Piura",7.01866555115707
"241",2021,1,2021-01-01,"CMAC Arequipa",3.31157372811464
"242",2021,1,2021-01-01,"CMAC Cusco",2.47714998177507
"243",2021,1,2021-01-01,"CMAC Huancayo",1.93249542668332
"244",2021,1,2021-01-01,"CMAC Piura",7.20242548932969
"245",2021,2,2021-02-01,"CMAC Arequipa",3.50830489959207
"246",2021,2,2021-02-01,"CMAC Cusco",2.62096166615297
"247",2021,2,2021-02-01,"CMAC Huancayo",2.39840517937597
"248",2021,2,2021-02-01,"CMAC Piura",7.75186963928557
"249",2021,3,2021-03-01,"CMAC Arequipa",3.48370114280088
"250",2021,3,2021-03-01,"CMAC Cusco",2.8580379924431
"251",2021,3,2021-03-01,"CMAC Huancayo",3.34544006870416
"252",2021,3,2021-03-01,"CMAC Piura",8.4636345383253
"253",2021,4,2021-04-01,"CMAC Arequipa",3.40085310215257
"254",2021,4,2021-04-01,"CMAC Cusco",2.80643439626244
"255",2021,4,2021-04-01,"CMAC Huancayo",3.42093497903378
"256",2021,4,2021-04-01,"CMAC Piura",8.88881492936774
"257",2021,5,2021-05-01,"CMAC Arequipa",3.36322389893338
"258",2021,5,2021-05-01,"CMAC Cusco",2.94349858799785
"259",2021,5,2021-05-01,"CMAC Huancayo",3.84335372801781
"260",2021,5,2021-05-01,"CMAC Piura",8.7351787891864
"261",2021,6,2021-06-01,"CMAC Arequipa",3.33076183770621
"262",2021,6,2021-06-01,"CMAC Cusco",2.78205895374036
"263",2021,6,2021-06-01,"CMAC Huancayo",3.4640309499188
"264",2021,6,2021-06-01,"CMAC Piura",7.87461877583855
"265",2021,7,2021-07-01,"CMAC Arequipa",3.33702290969678
"266",2021,7,2021-07-01,"CMAC Cusco",3.0954237752909
"267",2021,7,2021-07-01,"CMAC Huancayo",4.21514272991739
"268",2021,7,2021-07-01,"CMAC Piura",7.88675256304537
"269",2021,8,2021-08-01,"CMAC Arequipa",3.32553199099518
"270",2021,8,2021-08-01,"CMAC Cusco",2.99272021771999
"271",2021,8,2021-08-01,"CMAC Huancayo",3.7489388621528
"272",2021,8,2021-08-01,"CMAC Piura",7.48602089100315
"273",2021,9,2021-09-01,"CMAC Arequipa",3.28279655548598
"274",2021,9,2021-09-01,"CMAC Cusco",3.22281794221307
"275",2021,9,2021-09-01,"CMAC Huancayo",3.80285065930374
"276",2021,9,2021-09-01,"CMAC Piura",6.81636447114978
