"","Edad","EstadoCivil","MiembrosHogar","Educacion","Sexo","Ingresos","Ahorro"
"5072",40,"2",3,"2","0","2","Control"
"5073",29,"2",6,"2","0","2","Case"
"5350",32,"2",3,"3","0","2","Case"
"5351",65,"2",3,"1","0","1","Case"
"5355",70,"2",2,"3","0","1","Case"
"5369",63,"1",1,"1","1","0","Control"
"5377",55,"2",2,"2","0","2","Control"
"5378",62,"3",3,"2","0","2","Case"
"5381",53,"2",5,"3","0","2","Case"
"5382",29,"2",4,"3","0","2","Case"
"5387",28,"3",3,"1","1","2","Control"
"5393",53,"3",3,"2","1","2","Case"
"5395",52,"2",7,"3","0","3","Case"
"5397",36,"2",4,"2","0","3","Case"
"5398",41,"3",4,"2","1","2","Control"
"5402",35,"2",3,"3","0","2","Case"
"5404",52,"2",6,"2","0","1","Control"
"5406",58,"3",4,"1","1","1","Case"
"5407",47,"2",3,"2","1","1","Case"
"5411",54,"2",4,"2","0","1","Case"
"5412",50,"2",6,"2","0","2","Control"
"5413",56,"2",3,"3","0","2","Control"
"5414",55,"2",5,"3","0","2","Case"
"5415",64,"2",4,"3","0","2","Case"
"5425",47,"2",4,"2","1","1","Case"
"5426",52,"1",2,"1","1","1","Control"
"5427",70,"3",2,"1","1",NA,"Control"
"5434",70,"1",1,"1","1","0","Control"
"5436",43,"2",11,"2","0","1","Control"
"5437",69,"1",8,"1","1","0","Control"
"5443",50,"2",5,"2","0","2","Case"
"5452",24,"1",4,"3","1","2","Control"
"5459",60,"2",2,"2","0","3","Case"
"5464",30,"2",4,"2","0","2","Control"
"5465",68,"2",2,"2","0","1","Case"
"5466",60,"3",2,"1","1","1","Case"
"5470",70,"3",1,"0","1","0","Control"
"5479",36,"2",3,"2","0","3","Case"
"5480",43,"3",5,"1","1","3","Case"
"5484",68,"2",2,"3","0","2","Case"
"5486",42,"2",2,"2","0","2","Control"
"5489",32,"2",4,"2","0","2","Control"
"5491",52,"3",5,"3","1","1","Control"
"5492",56,"2",5,"2","0","2","Control"
"5493",61,"2",5,"2","0","2","Case"
"5494",60,"2",7,"2","0","2","Case"
"5496",50,"2",5,"3","0","2","Case"
