"","Departamento","year","alumnosMatriculados","analfabetismo","compLectora","docentes","gastoPublico","matematica","pbiRegiones","pobTot","pobUrb","tasaConclusion","tasaDesnutricion","tasaMatricula","deaNaive","deaRobust","ciLow","ciHigh","docAlum","nivelUrb"
"15","Ayacucho","2018",58.336,11.8598251652273,10.1928768592357,14270,5523.77594233911,9.24110560827978,15.3188304037575,616544.7,365038.1,43.01752941091,20.2149398619769,84.3668390313531,0.931759158770382,0.912025914115957,0.906000636186209,0.922486987583337,10.0265033650449,59.2070777674352
"16","Cajamarca","2015",113.593,13.1233836542875,7.11908355331556,24820,3358.2780042343,6.09717130176294,28.7202474514153,1350371.4,458234.2,33.9365478290124,23.8842354262067,80.6616564323336,0.879692188749802,0.853907419655215,0.845057181892925,0.870120251776909,11.732,33.9339384705571
"17","Cajamarca","2016",116.903,14.0305394460094,6.85440580641731,26570,3278,7.06237213867062,28.1422925426803,1345691.7,466651.1,32.9777574025234,26.0439925017688,77.0614033027309,0.832945934524634,0.798313850855672,0.783286152164813,0.819298132341904,10.8444054367487,34.6774153396354
"18","Cajamarca","2018",119.322,11.5018294047409,8.57497699268155,28020,4400.42331505533,8.65874328611819,29.8111799953723,1336332.3,483484.9,31.9357143873988,27.3862714146204,79.581951359715,0.876265177523417,0.856208400605522,0.849130538265369,0.866605068253998,11.100937194777,36.179990560731
"19","Callao","2015",44.917,2.05176538556255,21.2204760754905,6723,2470.94644802019,11.7458104383981,53.7484793599881,970970.6,970970.6,56.6874842823492,6.47715306594751,87.3786398838967,1,0.916561348327703,0.854682866451928,1.02381984572528,14.61,100
"20","Callao","2016",46.159,2.30981772186662,19.064464414116,7031,2656,12.5074030822898,55.0299127909296,982732.3,982732.3,51.4741389850534,5.9,83.1469126004719,1,0.900539510862119,0.82533467280203,1.05678591641937,13.5460062544241,100
"21","Callao","2018",48.702,1.97073324149085,20.6901372809108,7303,2798.88396766002,16.7463257286614,59.1175846358842,1006255.7,1006255.7,52.8850444290719,5.99820807816161,87.2307161834533,1,0.938169509035542,0.891446048843975,1.02709373982773,16.3474406796276,100
"22","Cusco","2015",105.881,11.5308811103459,10.431000610699,18445,3365.25682242722,7.24691151150561,56.0432029319695,1198702.2,698584.8,40.3496905614792,16.6875316230076,88.7007297680409,0.967365940207423,0.937869236340775,0.927331329734632,0.955541422866389,13.72433,58.2784281200118
"23","Cusco","2016",107.707,10.1223267958031,10.3543848024706,19717,3458,10.0133687408936,58.2411640642246,1202114.6,714918.4,38.7691997956634,14.609634790428,86.8906903064067,0.937177019504685,0.900709205222964,0.886643761224535,0.920032512216491,11.8791494550441,59.471734225672
"24","Cusco","2018",103.02,10.6095890889807,12.4334539291336,20430,4953.40558636178,11.2617902579167,57.7132872154535,1208939.4,747585.6,39.249006361337,14.0138020495675,85.592826299664,0.939440352585864,0.916301145235152,0.907684107331373,0.926928502506864,11.9788676722797,61.8381367999091
