"","Departamento","year","alumnosMatriculados.xlsx","analfabetismo.xlsx","compLectora.xlsx","docentes.xlsx","gastoPublico.xlsx","matematica.xlsx","pbiRegiones.xlsx","pobTot.xlsx","pobUrb.xlsx","tasaConclusion.xlsx","tasaDesnutricion.xlsx","tasaMatricula.xlsx","deaNaive","deaRobust","ciLow","ciHigh"
"34","Junín","2015",92.28,5.79772785016568,13.3272650499932,17711,3327.57458951536,11.5510964868193,11.6052810587949,1241925.2,858409.8,43.5565109505843,19.8462559819819,82.2711640245868,0.897245402002078,0.860313329447975,0.841134173701909,0.884519110635964
"37","La Libertad","2015",108.218,6.03501304955568,14.7400852991084,20326,2781.1790713438,8.95530769692233,11.6129417128613,1745874,1359753.6,38.1596114666795,15.9350263123511,81.5983753938374,0.911397518755356,0.873097348249482,0.854220086727314,0.908336944527381
"40","Lambayeque","2015",66.522,5.83182532917707,13.8,11080,3040.42893598927,9.7,9.15765630369027,1180381.6,952944.2,46.8776540011757,14.1456026361072,79.2119301125196,0.886050241124871,0.845452226036941,0.822992478340668,0.877826518977007
"43","Loreto","2015",70.033,7.65323323174685,23.7197370288022,17009,2963.43595064838,1.32744921182609,9.69832381785595,885154.4,597008,45.8152131761363,23.2004633678661,69.9162146310425,0.937537674580393,0.886294550517742,0.854632361749977,0.929781417305035
"46","Madre de Dios","2015",10.551,3.75592721050525,14.2706799957742,1959,4535.49736446352,4.37719220538974,17.4138327632135,134767,108538.6,53.5650704119114,10.2266502158176,85.0768633639174,0.96625996050369,0.919082978220087,0.891440980202439,0.966296629568354
"49","Moquegua","2015",11.417,4.81054539766529,4.52671856943551,3089,4001.14270829883,17.067324604987,50.4872152244232,172197,146410.4,41.1971668992842,3.5,87.9272081270247,0.958929949979506,0.920798669709871,0.901165761302417,0.963398623904381
"52","Pasco","2015",20.176,6.34914662164736,7.62936619641749,5457,4076.07455731769,8.63403252088216,20.0947398375426,259341.8,160787.6,44.6896162912644,22.4186604182515,81.3663517674406,0.894424359253947,0.864220017165377,0.852138202096185,0.881054828767441
"55","Piura","2015",122.562,7.61325324105745,27.0180502846975,19750,2867.40051536548,7.64206447224847,10.3622591887495,1820710.2,1422188.6,41.9801523213763,20.3210093035399,82.0983751147084,1,0.919347087104017,0.8600657217917,1.01468057341391
"58","Provincia de Lima","2015",343.422,2.05546286677411,10.5882109882877,51002,5445.02859395948,14.2948077707787,21.2701339853124,8381127.6,8373413.8,49.9965572780381,5.31361662544549,88.1207145618745,0.975924525966438,0.934721390477341,0.913820422949827,0.969706088609442
"61","Puno","2015",100.273,9.40701914588115,12.2461119889794,21018,3302.64512659248,5.10332938871613,7.14832573139914,1191845.8,618188.4,44.4064813495408,14.540209647804,86.0612536512603,0.938579939212373,0.905601037660735,0.891325862768542,0.924771716232306
"64","Región Lima","2015",58.034,4.48073133040428,6.8191958836928,12481,3270.33345845828,9.96638115211383,17.8440953112263,896238.6,729651.6,52.2880346221942,9.68842311627719,88.8557721166294,0.992576575433932,0.953532745502156,0.934056685131375,0.985005579004765
"67","San Martín","2015",65.109,6.79258075496517,6.97842681108653,12440,3100.74320768301,3.49678692299671,6.86314702038906,796466.4,528777.4,38.6965822214727,16.3135505448815,82.3664461175755,0.901626959242638,0.871054624053408,0.859203513511364,0.887014356075494
"70","Tacna","2015",20.366,3.88830774513566,26.0731885723169,4046,3160.35879049381,23.2255282476806,20.5415790584574,321221.8,287216,48.6125954541497,2.6,91.6930461176063,1,0.922452653521533,0.865947130444732,1.02357221364131
"73","Tumbes","2015",14.67,3.01039499952665,8.24541924367582,3824,4332.69888547322,3.45654868145069,11.551882323202,219951.6,204674,47.9520081478957,9.11379136056968,89.9894631035319,0.982522378921783,0.951605772616988,0.939660992259237,0.968800127172373
"76","Ucayali","2015",35.993,4.60503752187311,6.67945897703753,7566,2646.2030551734,2.06520787229076,8.60935196309339,483599,385374.2,49.3599591964451,24.0027339664099,72.9452233327738,0.870738220637784,0.821927447067121,0.79038819471314,0.88824009588319
"2","Amazonas","2016",38.645,9.27421065211599,7.58347196502321,8931,3736,8.98466388834467,7.34574188968115,379044.9,154757.4,36.4803157712155,19.2623296428343,70.2581154091516,0.758684504812289,0.727539938346393,0.714432028777524,0.745273869878685
"5","Áncash","2016",83.538,8.68802987456137,10.6692970081897,18687,3342,8.97651443190821,16.981484272496,1081513,677086.2,42.9500781397733,17.1234695666209,86.2423993663091,0.931470907843118,0.889995041174972,0.872218590494936,0.912853018051435
"8","Apurímac","2016",43.072,16.2535589012384,5.40206287807586,9436,4960,5.1253223096234,15.6386394449141,405602.1,180780.9,42.7721452063329,19.9918029923779,82.4128649548102,0.889923158732711,0.859161778336368,0.84804329709022,0.879171976133972
"11","Arequipa","2016",67.48,4.38869541872144,25.4193818740467,13378,3629,22.7629433016249,21.7867093411846,1359687.3,1241746.4,44.0260653295658,6.3,92.9040636113045,1,0.929500254705426,0.883578216570412,1.01040153605714
"14","Ayacucho","2016",60.874,11.6418671623338,8.83457515580174,14086,3776,9.25623800150358,8.40833975173728,615807.3,351051.9,39.7001263868537,18.8772120860862,83.5953156755897,0.899867970957221,0.867958558294277,0.856461688486747,0.884119518246278
"17","Cajamarca","2016",116.903,14.0305394460094,6.85440580641731,26570,3278,7.06237213867062,7.863097468759,1345691.7,466651.1,32.9777574025234,26.0439925017688,77.0614033027309,0.832945934524634,0.798345431756847,0.783400918042828,0.821101030240517
"20","Callao","2016",46.159,2.30981772186662,19.064464414116,7031,2656,12.5074030822898,21.0544234681205,982732.3,982732.3,51.4741389850534,5.9,83.1469126004719,1,0.898227878210375,0.820712642325013,1.05340810323072
"23","Cusco","2016",107.707,10.1223267958031,10.3543848024706,19717,3458,10.0133687408936,18.21645789844,1202114.6,714918.4,38.7691997956634,14.609634790428,86.8906903064067,0.937177019504685,0.900570300895658,0.886404008871275,0.919892307841253
"26","Huancavelica","2016",44.502,12.6385022225649,3.96511361105357,10525,4247,4.6254572038984,8.96582939589479,358354.8,103867.1,42.5898242340852,33.3993794190092,86.1476288378577,0.92862777025002,0.898014910983291,0.888649977358453,0.913327733240211
"29","Huánuco","2016",64.956,13.3694875401333,5.59109692602395,13014,3001,5.8364414290861,7.37135403465641,725164.6,364677.7,36.496317743163,19.1786928133029,75.4190939029364,0.8294095959521,0.791658637464156,0.773667000813655,0.824683070911934
"32","Ica","2016",48.395,3.07703151153053,15.4023517449543,9649,2657,13.318635324832,18.3122548862043,836881.7,770436.5,49.0971094707053,7.06078619859795,88.196891199497,1,0.912652152034612,0.849608450121434,1.01532411180223
"35","Junín","2016",93.013,6.04142893682616,13.9758945040922,18794,3580,15.4933214922873,11.4834664757099,1243981.6,871668.9,43.2415777352552,20.5242321596207,81.8196648723343,0.888942866737734,0.839833925644793,0.81219562473966,0.872874000708557
"38","La Libertad","2016",112.4,5.1560996191808,14.6716738917038,21706,3560,11.078755463712,11.6053416134263,1761977,1381654.3,40.6631028665786,12.1703860600943,78.6012480286819,0.85177773301824,0.809776491424513,0.788608306408405,0.83828579372398
"41","Lambayeque","2016",69.63,6.48213409771047,13.7446811129057,11624,2900,11.1622514147294,9.32050650526976,1188820.8,962032.6,45.0841911378103,11.8,83.168996993395,0.926727099187287,0.873901200046831,0.843269675565138,0.919347198917744
"44","Loreto","2016",75.21,6.67259500939373,21.9367329891872,18710,3132,1.72221847937461,8.59656246826701,884332.2,601875.5,47.140768758319,23.618632024685,71.5430875104962,0.953418840242999,0.889876314146823,0.849592784557016,0.953589089160453
"47","Madre de Dios","2016",11.226,4.14466916712495,14.0249844251134,2139,5318,7.38764385223968,19.3135728709346,137918.5,112640.8,51.9821430309038,8.33440783995598,80.2649623627325,1,0.938103007222486,0.900720612819962,0.981192198465242
"50","Moquegua","2016",11.656,4.52152196536673,4.29801048777144,3189,4664,24.31937121733,49.7638102921685,173530,149150.7,40.2559435281161,4.5,89.0415840418712,0.964891200939216,0.906908805525627,0.872350109553025,0.974134801738597
"53","Pasco","2016",20.242,6.27637267740403,9.05130833139073,5714,4596,11.5140157017467,20.7606288035141,256703.4,160528.3,43.8635715436103,24.7875981635271,81.774734890035,0.884388292575852,0.843031789943225,0.82290337217884,0.865788126936948
"56","Piura","2016",127.906,7.88240707601835,24.4158675480326,21571,2724,9.18828003602204,10.2921931719622,1838759.6,1447010.8,41.7967746098097,15.3,80.5459893611501,1,0.901003080988416,0.825970873414223,1.06366702494368
"59","Provincia de Lima","2016",352.575,2.06530770532207,9.83278597848197,52412,5940,15.236500995319,21.6327694096855,8478050.8,8470599.9,47.3126698329553,4.93729360163227,86.662576560059,0.947562021494286,0.897476190192344,0.869825374830331,0.929087561342231
"62","Puno","2016",99.128,9.24983593249828,12.198484612984,21649,3834,8.1887020742232,7.67674748792874,1182271.4,624418.2,43.0174161971402,16.3908668805967,89.7842703515611,0.966779105442241,0.930590306476295,0.916586357335517,0.950620247142392
"65","Región Lima","2016",58.688,4.96985283783812,7.21308691943737,12744,3188,12.9642452090995,17.8746008678067,903334.8,743330.8,50.6333580792507,5.86837914766605,92.4173671912444,1,0.933877383338838,0.891440370232184,0.976512828506432
"68","San Martín","2016",68.236,7.14566911454729,6.95739604599433,13705,2982,4.95518403642316,6.94240584542361,804923.7,541428.2,39.2843195744332,12.0717386667988,76.4202242383427,0.841817430162875,0.801743332772713,0.780869572762233,0.835711249782765
"71","Tacna","2016",21.754,4.46522410544136,28.8705897534601,4387,3685,30.2681386373229,20.0021827556768,325276.9,292002,46.4263739185872,2.3,90.9900809262078,1,0.899607917432507,0.823045578377815,1.05839939144928
